AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic
golang-sample,go1/destination.go,destination.go,code,go,15,UpdateControlTableResikoPasar,bf6f164aa3e86951b93fd0b17ebc8dbff98ebd0b,ControlTableResikoPasar,,,ControlTableResikoPasar,false,false,exec,EXEC,true,false
golang-sample,go1/destination.go,destination.go,code,go,15,UpdateControlTableResikoPasar,bf6f164aa3e86951b93fd0b17ebc8dbff98ebd0b,[dbo].[UpdateControlTableResikoPasar],,dbo,UpdateControlTableResikoPasar,false,false,exec,EXEC,true,false
golang-sample,go1/destination.go,destination.go,code,go,25,GetOboxPreviousWorkingDate,2b670ce0899d69a442ab570b63ab71cd8d786174,OBOXGetPrevDate_v,,,OBOXGetPrevDate_v,false,false,source,SELECT,false,false
golang-sample,go1/destination.go,destination.go,code,go,68,GetNamaSSB,5d86ef43abc26b943749f6859c9f9a67e7b3d938,mk006_a,,,mk006_a,false,false,source,SELECT,false,false
golang-sample,go1/destination.go,destination.go,code,go,78,DeleteAvgPrice,ddae4ff638f42a0c77ee8b075c20298c26048350,mk006_a_actuate,,,mk006_a_actuate,false,false,target,DELETE,true,false
golang-sample,go1/destination.go,destination.go,code,go,94,UpdateTableMK,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,[[dynamic-proc],,,[dynamic-proc,false,false,exec,EXEC,true,true
golang-sample,go1/destination.go,destination.go,code,go,115,ExecSPMK,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,[[dynamic-proc],,,[dynamic-proc,false,false,exec,EXEC,true,true
golang-sample,go1/destination.go,destination.go,code,go,129,GetFlatFileData,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,[[dynamic-proc],,,[dynamic-proc,false,false,exec,EXEC,true,true
golang-sample,go1/destination.go,destination.go,code,go,137,GetFlatFileData,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,[[dynamic-proc],,,[dynamic-proc,false,false,exec,EXEC,true,true
golang-sample,go1/destination.go,destination.go,code,go,151,GetFlatFileData,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,[[dynamic-proc],,,[dynamic-proc,false,false,exec,EXEC,true,true
