AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,100,ValidateANTSNA,1e7f97a3cea7a9556df5912d62679fd351151a2a,dbo.ANTSNAValidateField,,dbo,ANTSNAValidateField,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,120,SubmitANTSNA,f118f1cb8a8fa1006c601ef76fd29033766003c1,dbo.ANTSNASubmitForm,,dbo,ANTSNASubmitForm,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,132,GetSpecificGeneralParam,be0e8de0cb4d083a247eb20ea117bee9bf88ab6b,dbo.ANTSNAGetGeneralParam,,dbo,ANTSNAGetGeneralParam,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,146,PopulateListProduct,6da0280841ec7f96f9841f93fdb21584d6187d98,dbo.ANTSNAPopulateProduct,,dbo,ANTSNAPopulateProduct,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,163,UpdateStatusDataANTSNA,4da987db2b46d935a4059834830591699fecbf57,dbo.ANTSNAUpdateStatusData,,dbo,ANTSNAUpdateStatusData,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,176,GenerateDataANTSNA,0d18de1e11573e9a633403fe02d0199b7722ff27,dbo.ANTSNAGenerateFile,,dbo,ANTSNAGenerateFile,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,280,UpdateLCS,360c21f5de332cab0aef6ca1d92dae3408a96ddf,dbo.AntasenaUpdateDataLCS,,dbo,AntasenaUpdateDataLCS,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,41,PopulateComboParam,f4b76b7166e6711e4af6aa0cae13eab3ba033a8d,dbo.ANTSNAGetMasterParam,,dbo,ANTSNAGetMasterParam,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,51,PopulateColumnParam,c6e8aa139be161eaf228e80947baf027ff13ab70,dbo.ANTSNAGetColumnParam,,dbo,ANTSNAGetColumnParam,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,77,PopulateANTSNAData,bccb476ccfed1693d8d4fa19756d1b1fe9213fa2,dbo.ANTSNAPopulateData,,dbo,ANTSNAPopulateData,false,false,exec,EXEC,true,false,false,
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,code,csharp,87,PopulateParamReference,44a7db5f248374fcab4797fa4a6680ee2be1b7de,dbo.ANTSNAPopulateParamReference,,dbo,ANTSNAPopulateParamReference,false,false,exec,EXEC,true,false,false,
dotnet-sample,ApprovalParamGLModel.cs,ApprovalParamGLModel.cs,code,csharp,29,PopulateApprovalParamGL,cb190347355965333798f309710132a88c486514,dbo.TRSPopulateApprovalParameterGL,,dbo,TRSPopulateApprovalParameterGL,false,false,exec,EXEC,true,false,false,
dotnet-sample,ApprovalParamGLModel.cs,ApprovalParamGLModel.cs,code,csharp,51,SaveApprovalParamGL,a831ecc162a89e2a2fdf5225bb1c1790a933bfe8,dbo.TRSApprovalParamGL,,dbo,TRSApprovalParamGL,false,false,exec,EXEC,true,false,false,
