AppName,RelPath,File,TotalFunctionsWithDB,TotalQueries,TotalObjects,TotalExec,TotalWrite,TotalDynamic,TotalDynamicSql,TotalDynamicObject,DistinctObjectsUsed,HasDbAccess,HasCrossDb,DbList,TopObjectsRead,TopObjectsWrite,TopObjectsExec
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,11,11,11,11,11,0,0,0,11,true,false,,,AntasenaUpdateDataLCS(1); ANTSNAGenerateFile(1); ANTSNAGetColumnParam(1); ANTSNAGetGeneralParam(1); ANTSNAGetMasterParam(1); +6 others,AntasenaUpdateDataLCS(1); ANTSNAGenerateFile(1); ANTSNAGetColumnParam(1); ANTSNAGetGeneralParam(1); ANTSNAGetMasterParam(1); +6 others
dotnet-sample,ApprovalParamGLModel.cs,ApprovalParamGLModel.cs,2,4,6,4,4,4,2,2,4,true,false,,,[P] <dynamic-object>(2); [P] <dynamic-sql>(2); TRSApprovalParamGL(1); TRSPopulateApprovalParameterGL(1),[P] <dynamic-object>(2); [P] <dynamic-sql>(2); TRSApprovalParamGL(1); TRSPopulateApprovalParameterGL(1)
dotnet-sample,ApprovalSIDModel.cs,ApprovalSIDModel.cs,4,8,13,8,8,8,4,4,6,true,false,,,[P] <dynamic-sql>(5); [P] <dynamic-object>(4); TRSApproveSID(1); TRSInsertLogOneNotifNTI(1); TRSNTIUpdateStatusNotif(1); +1 others,[P] <dynamic-sql>(5); [P] <dynamic-object>(3); TRSApproveSID(1); TRSInsertLogOneNotifNTI(1); TRSNTIUpdateStatusNotif(1); +1 others
dotnet-sample,FLDModel.cs,FLDModel.cs,94,167,232,167,167,128,64,64,102,true,false,,,[P] <dynamic-sql>(65); [P] <dynamic-object>(64); TRSPopulateDataNasabahProduct(2); TRSPopulateNIKFLD(2); TRSPopulateSourceOfFund(2); +97 others,[P] <dynamic-sql>(65); [P] <dynamic-object>(63); TRSPopulateDataNasabahProduct(2); TRSPopulateNIKFLD(2); TRSPopulateSourceOfFund(2); +97 others
dotnet-sample,NTDPopulateDataModel.cs,NTDPopulateDataModel.cs,15,17,17,17,17,0,0,0,17,true,false,,,DCRCheckMXWorkingDate(1); ODAPopulateParam(1); TRSCheckParamThreshold(1); TRSCheckPhoneOrder(1); TRSPopulateAccountNasabahNTD(1); +12 others,DCRCheckMXWorkingDate(1); ODAPopulateParam(1); TRSCheckParamThreshold(1); TRSCheckPhoneOrder(1); TRSPopulateAccountNasabahNTD(1); +12 others
dotnet-sample,ODAMatchingModel.cs,ODAMatchingModel.cs,12,13,13,13,13,0,0,0,12,true,false,,,ODA_ValidateField(2); ODADataProcesResult(1); ODAGetXMLToONFX(1); ODAPopulateCheckListTrx(1); ODAPopulateDataMatching(1); +7 others,ODA_ValidateField(2); ODADataProcesResult(1); ODAGetXMLToONFX(1); ODAPopulateCheckListTrx(1); ODAPopulateDataMatching(1); +7 others
dotnet-sample,UploadTreasuryProductResultModel.cs,UploadTreasuryProductResultModel.cs,8,14,20,14,14,12,6,6,10,true,false,,,[P] <dynamic-object>(6); [P] <dynamic-sql>(6); TRSPopulateProductList(1); TRSPopulateProductTreasuryDCRBONUSResult(1); TRSPopulateProductTreasuryDCREKIResult(1); +5 others,[P] <dynamic-object>(6); [P] <dynamic-sql>(6); TRSPopulateProductList(1); TRSPopulateProductTreasuryDCRBONUSResult(1); TRSPopulateProductTreasuryDCREKIResult(1); +5 others
dotnet-sample,clsAPIServiceInvestmentObligasi.cs,clsAPIServiceInvestmentObligasi.cs,3,3,10,1,0,3,0,3,8,true,false,,[P] <dynamic-object>(1); control_table(1); ORI_Online_TR(1); ORI_Order_TT(1); SecurityMaster_TM(1); +3 others,[P] <dynamic-object>(2),
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,10,17,34,3,0,17,8,9,12,true,true,SQL_SIBS,[P] <dynamic-sql>(8); [P] <dynamic-object>(6); TreasuryCustomer_TM(2); TRSListChannelBonds_TR(2); TRSParameter_TR(2); +2 others,[P] <dynamic-object>(3); edBy(2); edDate(2); TreasuryCustomer_TM(2); TreasuryCustomerLog_TH(1); +2 others,
dotnet-sample,clsAPIServiceReksa2.cs,clsAPIServiceReksa2.cs,2,2,2,0,0,2,2,0,1,true,false,,[P] <dynamic-sql>(2),,
