AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,DynamicRawCount,TotalDynamicSql,TotalDynamicObject,DynamicSqlCount,DynamicObjectCount,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TotalObjectsRead,TotalObjectsWrite,TotalObjectsExec,TopObjectsRead,TopObjectsWrite,TopObjectsExec,ObjectsUsed,HasCrossDb,DbList,DynamicPseudoKinds,DynamicExampleSignatures
dotnet-sample,ANTSNAModel.cs,GenerateDataANTSNA,176,176,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|GenerateDataANTSNA|ExecProc@176 x1 (example=0d18de1e11573e9a633403fe02d0199b7722ff27),,1,0,1,1,,ANTSNAGenerateFile(1),ANTSNAGenerateFile(1),ANTSNAGenerateFile(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,GetSpecificGeneralParam,132,132,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|GetSpecificGeneralParam|ExecProc@132 x1 (example=be0e8de0cb4d083a247eb20ea117bee9bf88ab6b),,1,0,1,1,,ANTSNAGetGeneralParam(1),ANTSNAGetGeneralParam(1),ANTSNAGetGeneralParam(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,PopulateANTSNAData,77,77,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|PopulateANTSNAData|ExecProc@77 x1 (example=bccb476ccfed1693d8d4fa19756d1b1fe9213fa2),,1,0,1,1,,ANTSNAPopulateData(1),ANTSNAPopulateData(1),ANTSNAPopulateData(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,PopulateColumnParam,51,51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|PopulateColumnParam|ExecProc@51 x1 (example=c6e8aa139be161eaf228e80947baf027ff13ab70),,1,0,1,1,,ANTSNAGetColumnParam(1),ANTSNAGetColumnParam(1),ANTSNAGetColumnParam(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,PopulateComboParam,41,41,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|PopulateComboParam|ExecProc@41 x1 (example=f4b76b7166e6711e4af6aa0cae13eab3ba033a8d),,1,0,1,1,,ANTSNAGetMasterParam(1),ANTSNAGetMasterParam(1),ANTSNAGetMasterParam(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,PopulateListProduct,146,146,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|PopulateListProduct|ExecProc@146 x1 (example=6da0280841ec7f96f9841f93fdb21584d6187d98),,1,0,1,1,,ANTSNAPopulateProduct(1),ANTSNAPopulateProduct(1),ANTSNAPopulateProduct(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,PopulateParamReference,87,87,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|PopulateParamReference|ExecProc@87 x1 (example=44a7db5f248374fcab4797fa4a6680ee2be1b7de),,1,0,1,1,,ANTSNAPopulateParamReference(1),ANTSNAPopulateParamReference(1),ANTSNAPopulateParamReference(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,SubmitANTSNA,120,120,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|SubmitANTSNA|ExecProc@120 x1 (example=f118f1cb8a8fa1006c601ef76fd29033766003c1),,1,0,1,1,,ANTSNASubmitForm(1),ANTSNASubmitForm(1),ANTSNASubmitForm(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,UpdateLCS,280,280,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|UpdateLCS|ExecProc@280 x1 (example=360c21f5de332cab0aef6ca1d92dae3408a96ddf),,1,0,1,1,,AntasenaUpdateDataLCS(1),AntasenaUpdateDataLCS(1),AntasenaUpdateDataLCS(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,UpdateStatusDataANTSNA,163,163,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|UpdateStatusDataANTSNA|ExecProc@163 x1 (example=4da987db2b46d935a4059834830591699fecbf57),,1,0,1,1,,ANTSNAUpdateStatusData(1),ANTSNAUpdateStatusData(1),ANTSNAUpdateStatusData(write=1/exec=1),false,,,
dotnet-sample,ANTSNAModel.cs,ValidateANTSNA,100,100,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ANTSNAModel.cs|ValidateANTSNA|ExecProc@100 x1 (example=1e7f97a3cea7a9556df5912d62679fd351151a2a),,1,0,1,1,,ANTSNAValidateField(1),ANTSNAValidateField(1),ANTSNAValidateField(write=1/exec=1),false,,,
dotnet-sample,ApprovalParamGLModel.cs,PopulateApprovalParamGL,29,29,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalParamGLModel.cs|PopulateApprovalParamGL|ExecProc@29 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(2),[P] <dynamic-sql>(2),[P] <dynamic-sql>(write=2/exec=2),false,,dynamic-object(1); dynamic-sql(1),ApprovalParamGLModel.cs|PopulateApprovalParamGL|ExecProc@29 x2
dotnet-sample,ApprovalParamGLModel.cs,SaveApprovalParamGL,51,51,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalParamGLModel.cs|SaveApprovalParamGL|ExecProc@51 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(2),[P] <dynamic-sql>(2),[P] <dynamic-sql>(write=2/exec=2),false,,dynamic-object(1); dynamic-sql(1),ApprovalParamGLModel.cs|SaveApprovalParamGL|ExecProc@51 x2
dotnet-sample,ApprovalSIDModel.cs,ApproveSID,57,57,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|ApproveSID|ExecProc@57 x2 (example=64854a3c5d92df3c24c6da0a94b7493197ed3c54),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSApproveSID(1),[P] <dynamic-object>(1); TRSApproveSID(1),[P] <dynamic-object>(write=1/exec=1); TRSApproveSID(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|ApproveSID|ExecProc@57 x2
dotnet-sample,ApprovalSIDModel.cs,InsertLogOneNotif,99,99,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|InsertLogOneNotif|ExecProc@99 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(4),[P] <dynamic-sql>(4),[P] <dynamic-sql>(write=4/exec=4),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|InsertLogOneNotif|ExecProc@99 x2
dotnet-sample,ApprovalSIDModel.cs,PopulateApprovalSID,29,29,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|PopulateApprovalSID|ExecProc@29 x2 (example=5bf7ffd53a472a94fe4f2497cc5ed6d7378bd50f),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSPopulateApprovalSID(1),[P] <dynamic-object>(1); TRSPopulateApprovalSID(1),[P] <dynamic-object>(write=1/exec=1); TRSPopulateApprovalSID(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|PopulateApprovalSID|ExecProc@29 x2
