AppName,RelPath,File,Func,QueryHash,FullObjectName,DbName,SchemaName,BaseName,Role,DmlKind,IsWrite,IsCrossDb,IsPseudoObject,PseudoKind,SourceCategory,SourceKind,Line,IsLinkedServer,IsObjectNameDynamic
golang-sample,go1/destination.go,destination.go,DeleteAvgPrice,02a5a6a3cb7ccdd2c5b0af63661205fb9c9c1949,dbo.mk006_a_actuate,,dbo,mk006_a_actuate,target,DELETE,true,false,false,,code,go,81,false,false
golang-sample,go1/destination.go,destination.go,DeleteDuplicateConfo,05b7f6bc6de9c94111ddc9b64163080303352a42,dbo.confomk005_a,,dbo,confomk005_a,target,DELETE,true,false,false,,code,go,44,false,false
golang-sample,go1/destination.go,destination.go,DeleteDuplicateConfo,ece0a8fc2aef9581217c832e25c532b5aed7327c,dbo.confomk006_a,,dbo,confomk006_a,target,DELETE,true,false,false,,code,go,44,false,false
golang-sample,go1/destination.go,destination.go,DeleteDuplicateDataMK,3af9c6394a39d7e394c32777071366cb64d41543,dbo.mk006_a,,dbo,mk006_a,target,DELETE,true,false,false,,code,go,211,false,false
golang-sample,go1/destination.go,destination.go,DeleteDuplicateDataMK,5991f767c6a54d39a62b8afd7af3bdd059d33d52,dbo.mk005_a,,dbo,mk005_a,target,DELETE,true,false,false,,code,go,211,false,false
golang-sample,go1/destination.go,destination.go,ExecSPMK,376faa5ad96893cab7472716697765a36ddc3c54,dbo.MK005-A,,dbo,MK005-A,exec,EXEC,true,false,false,,code,go,118,false,false
golang-sample,go1/destination.go,destination.go,ExecSPMK,8b9c9753007e4c13de674c52f8578fc8c37d1b0a,dbo.MK002-A_detail,,dbo,MK002-A_detail,exec,EXEC,true,false,false,,code,go,118,false,false
golang-sample,go1/destination.go,destination.go,ExecSPMK,b6fc4c6c823dec402ed2fdef1e96408ab7ccba58,dbo.MK006-A,,dbo,MK006-A,exec,EXEC,true,false,false,,code,go,118,false,false
golang-sample,go1/destination.go,destination.go,ExecSPMK,cae9b620e82a1bd27556bf598c50353d204e5e5d,dbo.MK002-A,,dbo,MK002-A,exec,EXEC,true,false,false,,code,go,118,false,false
golang-sample,go1/destination.go,destination.go,ExecuteSPMurexTConfo,1bf3c016699705ac5e7a5cc109d738e2ec826525,dbo.TConfoMK005_A,,dbo,TConfoMK005_A,exec,EXEC,true,false,false,,code,go,61,false,false
golang-sample,go1/destination.go,destination.go,ExecuteSPMurexTConfo,a406be5130ee6f614473551dd13b257dbe4e1f2f,dbo.TConfoMK006_A,,dbo,TConfoMK006_A,exec,EXEC,true,false,false,,code,go,61,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,a039651c0176afc443f051510c2b21a69471f74d,dbo.MK006-A_flatfile,,dbo,MK006-A_flatfile,exec,EXEC,true,false,false,,code,go,132,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,a039651c0176afc443f051510c2b21a69471f74d,dbo.MK006-A_flatfile,,dbo,MK006-A_flatfile,exec,EXEC,true,false,false,,code,go,140,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,a35d937d6732b68a5e4ab206e525162452d18c44,dbo.MK005-A_flatfile,,dbo,MK005-A_flatfile,exec,EXEC,true,false,false,,code,go,140,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,68b658f8ee9c86e6771ceeb8767e9d4a945cac5e,dbo.MK002-A_flatfile,,dbo,MK002-A_flatfile,exec,EXEC,true,false,false,,code,go,154,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,a039651c0176afc443f051510c2b21a69471f74d,dbo.MK006-A_flatfile,,dbo,MK006-A_flatfile,exec,EXEC,true,false,false,,code,go,154,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileData,a35d937d6732b68a5e4ab206e525162452d18c44,dbo.MK005-A_flatfile,,dbo,MK005-A_flatfile,exec,EXEC,true,false,false,,code,go,154,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileUnstructuredData,401d8fd3462e5cba3b3693d62bf83e1ec5de571f,dbo.MK006UN-A_flatfile,,dbo,MK006UN-A_flatfile,exec,EXEC,true,false,false,,code,go,182,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileUnstructuredData,4bc4cf8d89d1a3cae2f102385535a3d65e4753a4,dbo.MK002UN-A_flatfile,,dbo,MK002UN-A_flatfile,exec,EXEC,true,false,false,,code,go,182,false,false
golang-sample,go1/destination.go,destination.go,GetFlatFileUnstructuredData,bb89e1f3f887161b4bb20d35956bc97bb8e6292f,dbo.MK005UN-A_flatfile,,dbo,MK005UN-A_flatfile,exec,EXEC,true,false,false,,code,go,182,false,false
golang-sample,go1/destination.go,destination.go,GetNamaSSB,7f8c1bcbcafd8058df3c7325886d646aab09a30e,dbo.mk006_a,,dbo,mk006_a,source,SELECT,false,false,false,,code,go,71,false,false
golang-sample,go1/destination.go,destination.go,GetOboxPreviousWorkingDate,2b670ce0899d69a442ab570b63ab71cd8d786174,dbo.OBOXGetPrevDate_v,,dbo,OBOXGetPrevDate_v,source,SELECT,false,false,false,,code,go,28,false,false
golang-sample,go1/destination.go,destination.go,GetTableRetry,71a7af3e8ce7fd6589c0bf8df83982f2d4c694f4,dbo.control_table_resiko_pasar,,dbo,control_table_resiko_pasar,source,SELECT,false,false,false,,code,go,194,false,false
golang-sample,go1/destination.go,destination.go,UpdateControlTableResikoPasar,6ae73001c2fda128acc6c4df428d721c6c6c3000,dbo.UpdateControlTableResikoPasar,,dbo,UpdateControlTableResikoPasar,exec,EXEC,true,false,false,,code,go,18,false,true
golang-sample,go1/destination.go,destination.go,UpdateTableMK,6611667c579e959aaf66d62fdb2464d1c487f15f,dbo.MK006-A_UpdateValue,,dbo,MK006-A_UpdateValue,exec,EXEC,true,false,false,,code,go,97,false,false
golang-sample,go1/destination.go,destination.go,UpdateTableMK,8a49534b529eb37c2b4ec16c3db40ec5b8f1f288,dbo.MK005-A_UpdateJumlah,,dbo,MK005-A_UpdateJumlah,exec,EXEC,true,false,false,,code,go,97,false,false
golang-sample,go1/query.go,query.go,TRIM,1b9b4d6cd9afddcfe3be7e14a760f10cbbdc7d09,dbo.mk006_a_actuate,,dbo,mk006_a_actuate,target,INSERT,true,false,false,,code,go,174,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L10,ece0a8fc2aef9581217c832e25c532b5aed7327c,dbo.confomk006_a,,dbo,confomk006_a,target,DELETE,true,false,false,,code,go,10,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L106,8529b988ed270d33baf8655babb31d52dbff9063,SQL_REPLICATE.dbo.mk006_a,SQL_REPLICATE,dbo,mk006_a,target,INSERT,true,true,false,,code,go,106,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L124,69e0b26fd420b6bbf9fca74e15f1f61c24e0dd97,SQL_REPLICATE.dbo.mk005_a,SQL_REPLICATE,dbo,mk005_a,target,INSERT,true,true,false,,code,go,124,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L13,fd9583c758cfc99a8e13208a30a2d94510709bcf,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,13,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L140,7f8c1bcbcafd8058df3c7325886d646aab09a30e,dbo.mk006_a,,dbo,mk006_a,source,SELECT,false,false,false,,code,go,140,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L153,02a5a6a3cb7ccdd2c5b0af63661205fb9c9c1949,dbo.mk006_a_actuate,,dbo,mk006_a_actuate,target,DELETE,true,false,false,,code,go,153,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L160,4fef1d702248e13c3ae0a6184db4516f47931f63,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,160,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L25,0989923441770dc59988eda8b3a759b568d62687,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,25,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L36,c93feaf2a4b54eb5038e371932f5075bcdcf161b,SQL_REPLICATE.dbo.confomk006_a,SQL_REPLICATE,dbo,confomk006_a,target,INSERT,true,true,false,,code,go,36,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L58,5d4c3fc3bafa513bd8b3d94f81c70289ef3cb3fc,SQL_REPLICATE.dbo.confomk005_a,SQL_REPLICATE,dbo,confomk005_a,target,INSERT,true,true,false,,code,go,58,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L6,2b670ce0899d69a442ab570b63ab71cd8d786174,dbo.OBOXGetPrevDate_v,,dbo,OBOXGetPrevDate_v,source,SELECT,false,false,false,,code,go,6,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L8,05b7f6bc6de9c94111ddc9b64163080303352a42,dbo.confomk005_a,,dbo,confomk005_a,target,DELETE,true,false,false,,code,go,8,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L80,5991f767c6a54d39a62b8afd7af3bdd059d33d52,dbo.mk005_a,,dbo,mk005_a,target,DELETE,true,false,false,,code,go,80,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L82,3af9c6394a39d7e394c32777071366cb64d41543,dbo.mk006_a,,dbo,mk006_a,target,DELETE,true,false,false,,code,go,82,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L85,7bb6e2898075515c9ed8e60b58295d157e67ca88,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,85,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L94,2776a233210d0baa64580f27ed4b6a2b80f0f216,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,94,false,true
