AppName,RelPath,File,Func,TotalQueries,TotalExec,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalDynamic,TotalWrite,HasCrossDb,ObjectsUsed,LineStart,LineEnd
golang-sample,go1/destination.go,destination.go,DeleteAvgPrice,1,0,0,0,0,1,0,0,1,false,mk006_a_actuate,78,78
golang-sample,go1/destination.go,destination.go,DeleteDuplicateConfo,1,0,0,0,0,1,0,0,1,false,confomk005_a;confomk006_a,41,41
golang-sample,go1/destination.go,destination.go,DeleteDuplicateDataMK,1,0,0,0,0,1,0,0,1,false,mk005_a;mk006_a,208,208
golang-sample,go1/destination.go,destination.go,ExecSPMK,4,4,0,0,0,0,0,0,4,false,MK002-A;MK002-A_detail;MK005-A;MK006-A,115,115
golang-sample,go1/destination.go,destination.go,ExecuteSPMurexTConfo,2,2,0,0,0,0,0,0,2,false,TConfoMK005_A;TConfoMK006_A,58,58
golang-sample,go1/destination.go,destination.go,GetFlatFileData,6,6,0,0,0,0,0,0,6,false,MK002-A_flatfile;MK005-A_flatfile;MK006-A_flatfile,129,151
golang-sample,go1/destination.go,destination.go,GetFlatFileUnstructuredData,3,3,0,0,0,0,0,0,3,false,MK002UN-A_flatfile;MK005UN-A_flatfile;MK006UN-A_flatfile,179,179
golang-sample,go1/destination.go,destination.go,GetNamaSSB,1,0,1,0,0,0,0,0,0,false,mk006_a,68,68
golang-sample,go1/destination.go,destination.go,GetOboxPreviousWorkingDate,1,0,1,0,0,0,0,0,0,false,OBOXGetPrevDate_v,25,25
golang-sample,go1/destination.go,destination.go,GetTableRetry,1,0,1,0,0,0,0,0,0,false,control_table_resiko_pasar,191,191
golang-sample,go1/destination.go,destination.go,UpdateControlTableResikoPasar,1,1,0,0,0,0,0,0,1,false,UpdateControlTableResikoPasar,15,15
golang-sample,go1/destination.go,destination.go,UpdateTableMK,2,2,0,0,0,0,0,0,2,false,MK005-A_UpdateJumlah;MK006-A_UpdateValue,94,94
golang-sample,go1/query.go,query.go,<unknown-func>,17,0,7,5,0,5,0,5,10,true,OBOXGetPrevDate_v;[schema;confomk005_a;confomk006_a;mk005_a;mk006_a;mk006_a_actuate,3,171
golang-sample,go1/source.go,source.go,ExecSPMurexMK,1,0,0,0,0,0,0,1,0,false,,24,24
golang-sample,go1/source.go,source.go,ExecuteSPMurexConfoMK,1,0,0,0,0,0,0,1,0,false,,41,41
golang-sample,go1/source.go,source.go,GetMK005A,1,0,0,0,0,0,0,1,0,false,,93,93
golang-sample,go1/source.go,source.go,GetMK005AConfo,1,0,0,0,0,0,0,1,0,false,,82,82
golang-sample,go1/source.go,source.go,GetMK006A,1,0,0,0,0,0,0,1,0,false,,61,61
golang-sample,go1/source.go,source.go,GetMK006AConfo,1,0,0,0,0,0,0,1,0,false,,51,51
golang-sample,go1/source.go,source.go,GetMurexAvgPrice,1,0,0,0,0,0,0,1,0,false,,71,71
golang-sample,go1/source.go,source.go,ValidateMKData,1,1,0,0,0,0,0,0,1,false,MKValidateData,112,112
golang-sample,go2/impl.go,impl.go,GetBIRates,1,0,1,0,0,0,0,0,0,false,SIBSCurrencyTable_TM,34,34
golang-sample,go2/impl.go,impl.go,GetCFCOUN,1,0,1,0,0,0,0,0,0,false,CFMAST,30,30
golang-sample,go2/impl.go,impl.go,GetCurrWorkingDate,1,0,1,0,0,0,0,0,0,false,control_table,26,26
golang-sample,go2/impl.go,impl.go,GetValasMappingParameter,1,0,1,0,0,0,0,0,0,false,valas_mapping_parameter,52,52
golang-sample,go2/impl.go,impl.go,GetVlsRate,1,0,1,0,0,0,0,0,0,false,VLSRate_TM,69,69
golang-sample,go2/impl.go,impl.go,GetVlsTransaction,2,0,2,0,0,0,0,0,0,false,VLSTransactionsToday_TR;VLSTransactions_TR,87,98
golang-sample,go2/query.go,query.go,<unknown-func>,5,0,5,0,0,0,0,0,0,false,CFMAST;SIBSCurrencyTable_TM;VLSTransactionsToday_TR;VLSTransactions_TR;control_table,3,36
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,<unknown-func>,17,2,13,0,1,1,0,0,4,true,BancaMTranAAJIAAUI_TT;BancaNoAAJI_TM;BancaNoAAUI_TM;PSEmployee_v,13,621
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckNIKIfNotRegisterOnPeopleSoftFromPSEmployeev,1,0,1,0,0,0,0,0,0,false,PSEmployee_v,229,229
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckNIKIsRegisterFromBancaNoAAJITM,1,0,1,0,0,0,0,0,0,false,BancaNoAAUI_TM,256,256
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,CheckTransactionIsExistByNIKANDStatusFromBancaMTranAAJIAAUITT,1,0,1,0,0,0,0,0,0,false,BancaMTranAAJIAAUI_TT,283,283
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,DeleteBatchIdFromBancaMTranAAJIAAUITT,1,0,0,0,0,1,0,0,1,false,BancaMTranAAJIAAUI_TT,220,220
